,Unnamed: 0,disentanglement,avg_corr_coef,IOSS,IRS,gaussian_total_correlation,gaussian_wasserstein_dependency,dataset,IOSS_classify,IRS_classify,gaussian_total_correlation_classify,gaussian_wasserstein_dependency_classify,avg_corr_coef_classify
1,1,disentangled,0.8443284790990384,0.91326204602796,1.0,4.410008134852097,0.3038745850543757,mpi3d,True,True,True,True,False
0,0,entangled,0.6733168900121106,0.5742385680763268,0.6940357725332518,0.6164484809351873,0.1570408861043787,cars3d,True,True,False,True,False
1,1,disentangled,0.9073246535008198,0.4760343589517765,1.0,1.4831000513555672,0.0173966726633356,cars3d,True,True,False,True,False
0,0,entangled,0.1694549492943997,0.6980491222349127,0.5202367926093209,0.8769205412674812,0.0624762690920754,smallnorb,True,True,False,False,False
1,1,disentangled,0.9015387026490236,0.6269960911350146,1.0,2.413748782644495,0.2682914953658628,smallnorb,True,True,False,False,False
0,0,entangled,0.3072412333432877,0.7982512534095991,0.5249310428006078,2.725650834347241,0.4524278821623923,dsprites,True,True,False,True,False
1,1,disentangled,0.8905333111755275,0.7149819787612525,1.0,3.27982069562442,0.4335251889947124,dsprites,True,True,False,True,False
0,0,entangled,0.1690164120198208,1.053294425388443,0.5135885472274283,5.769796944399687,0.5919385707515367,mpi3d,True,True,True,True,False
1,1,disentangled,0.8491328776141832,0.893744574182612,1.0,4.534494477395824,0.3210275436584796,mpi3d,True,True,True,True,False
0,0,entangled,0.020438525918505,1.1039707792046294,0.5670398936767267,6.689317274738368,0.6271607223081789,mpi3d,True,True,True,True,False
1,1,disentangled,0.8416840400256759,0.8576136930249674,1.0,4.355408429193563,0.2953217136867683,mpi3d,True,True,True,True,False
0,0,entangled,0.476564007830613,0.526879547849309,0.6867433948821846,0.2575898004206509,0.0577508187589617,cars3d,True,True,False,True,False
1,1,disentangled,0.910347592089778,0.4891336578634871,1.0,1.505430296551368,0.0164698530665834,cars3d,True,True,False,True,False
0,0,entangled,0.0244512741030801,0.758646827362344,0.5898572019074722,1.798612019166884,0.3701061730716272,smallnorb,True,True,False,True,False
1,1,disentangled,0.9008422773846524,0.5723843897900339,1.0,2.399874013016893,0.27748427480472,smallnorb,True,True,False,True,False
0,0,entangled,0.1805750583500411,0.6485705355875588,0.5464231264099781,0.8986019770331524,0.2358745020905006,smallnorb,True,True,False,False,False
1,1,disentangled,0.89528857488316,0.598839847328075,1.0,2.320871116997864,0.264964354045929,smallnorb,True,True,False,False,False
0,0,entangled,0.0447355017686652,1.0971085566942995,0.5952621470442547,5.991438536863573,0.5697338620354484,mpi3d,True,True,True,True,False
1,1,disentangled,0.8457894346161202,0.8889830067074435,1.0,4.49527744222197,0.3177615242478656,mpi3d,True,True,True,True,False
0,0,entangled,0.2271646216154236,0.5860024036237925,0.7000816188030984,0.3944696088907002,0.1182738411821842,cars3d,True,True,False,True,False
1,1,disentangled,0.9044904008676932,0.4815258951425426,1.0,1.4633941071295986,0.017667132072861,cars3d,True,True,False,True,False
0,0,entangled,0.2383467006916501,0.581319459357169,0.7172566018697147,0.7993819373969768,0.20723065969611,cars3d,True,True,False,True,False
1,1,disentangled,0.9168235228561096,0.5221227080048486,1.0,1.599609462233727,0.0193776419042302,cars3d,True,True,False,True,False
0,0,entangled,0.4569491900145804,1.0089181663199425,0.4755026060972401,4.117149244465256,0.380534541878527,mpi3d,True,True,False,True,False
